#alpha tolerance
0 6.39484508e-01
1 6.37798025e-01
2 6.35688834e-01
3 6.23381182e-01
4 6.14225186e-01
5 5.90270461e-01
6 5.70591211e-01
7 5.22920436e-01
8 4.84154685e-01
9 3.60083243e-01
10 2.91713257e-01
11 1.70720087e-01
12 1.19659979e-01
13 9.33609175e-02
14 8.57940878e-02
15 8.89898428e-02
