a:
2118094:   14:05:52 
2118095:   13:58:38 
2118097:   14:01:54 
2118098:   13:59:27 
2118100:   11:18:55 
2118101:   14:03:03 
2118103:   14:01:21 
2118104:   13:59:24 
2118106:   14:04:10 
2118107:   14:01:11 
2118109:   14:16:41 
2118110:   13:59:31 
2118112:   13:58:40 
2118113:   14:01:28 
2118115:   14:01:29 
2118116:   14:13:29 
2118118:   14:10:36 
2118119:   14:06:51 
2118121:   14:11:20 
2118122:   14:27:43 
2118125:   02:05:05 
2118126:   02:05:05 
2118128:   02:05:05 
2118129:   02:05:05 
2118131:   02:05:05 
2118132:   02:05:05 
2118134:   02:05:05 
2118135:   02:05:05 
2118137:   02:05:05 
2118138:   02:05:05 
2118140:   02:05:05 
2118141:   02:05:05 
2118143:   02:05:05 
2118144:   02:05:06 
2118146:   02:05:06 
2118147:   02:05:06 
2118149:   02:05:06 
2118150:   02:05:06 
2118152:   02:05:06 
2118153:   02:05:06 
 
b:
2118096:   06:58:11 
2118099:   07:11:19 
2118102:   06:14:25 
2118105:   07:08:18 
2118108:   07:03:17 
2118111:   06:55:32 
2118114:   07:03:07 
2118117:   07:15:37 
2118120:   07:05:51 
2118123:   06:57:42 
2118127:   00:00:00 
2118130:   00:00:00 
2118133:   00:00:00 
2118136:   00:00:00 
2118139:   00:00:00 
2118142:   00:00:00 
2118145:   00:00:00 
2118148:   00:00:00 
2118151:   00:00:00 
2118154:   00:00:00 
 
f:
2118124:   00:13:23 
2118155:   00:00:00 
 
---------------------------------------------
 
a:
2118094:   14:05:52 
2118095:   13:58:38 
2118097:   14:01:54 
2118098:   13:59:27 
2118100:   11:18:55 
2118101:   14:03:03 
2118103:   14:01:21 
2118104:   13:59:24 
2118106:   14:04:10 
2118107:   14:01:11 
2118109:   14:16:41 
2118110:   13:59:31 
2118112:   13:58:40 
2118113:   14:01:28 
2118115:   14:01:29 
2118116:   14:13:29 
2118118:   14:10:36 
2118119:   14:06:51 
2118121:   14:11:20 
2118122:   14:27:43 
2118125:   14:07:50 
2118126:   14:14:32 
2118128:   14:05:20 
2118129:   14:05:21 
2118131:   14:08:43 
2118132:   14:06:37 
2118134:   14:08:06 
2118135:   14:01:44 
2118137:   14:12:28 
2118138:   13:57:39 
2118140:   13:57:52 
2118141:   14:00:55 
2118143:   14:02:44 
2118144:   14:03:01 
2118146:   14:31:14 
2118147:   14:27:06 
2118149:   14:21:46 
2118150:   14:20:28 
2118152:   11:28:56 
2118153:   14:27:44 
 
b:
2118096:   06:58:11 
2118099:   07:11:19 
2118102:   06:14:25 
2118105:   07:08:18 
2118108:   07:03:17 
2118111:   06:55:32 
2118114:   07:03:07 
2118117:   07:15:37 
2118120:   07:05:51 
2118123:   06:57:42 
2118127:   06:49:23 
2118130:   06:47:26 
2118133:   06:40:48 
2118136:   06:45:16 
2118139:   06:39:56 
2118142:   06:53:33 
2118145:   06:47:06 
2118148:   07:05:54 
2118151:   06:48:16 
2118154:   06:03:04 
 
f:
2118124:   00:13:23 
2118155:   00:13:19 
 
---------------------------------------------
 
