#alpha tolerance
0 5.6075709e-01
1 5.5867593e-01
2 5.5743860e-01
3 5.4736051e-01
4 5.3820934e-01
5 5.1960604e-01
6 5.0360265e-01
7 4.6932385e-01
8 4.4136685e-01
9 3.6188417e-01
10 3.0962097e-01
11 2.1837702e-01
12 1.6380059e-01
13 1.2134694e-01
14 9.3932225e-02
15 7.3798517e-02
16 5.9899101e-02
17 4.8705040e-02
18 4.0351022e-02
19 3.5331832e-02
20 3.0963102e-02
