#alpha tolerance
0 1.20464607e+00
1 1.19262930e+00
2 1.17531947e+00
3 1.14906621e+00
4 1.14660808e+00
5 1.07034983e+00
6 1.01545688e+00
7 9.21324658e-01
8 8.51401317e-01
9 7.57912670e-01
10 6.63742715e-01
11 5.54501856e-01
12 4.81668227e-01
13 4.14020977e-01
14 3.71494892e-01
15 3.25694726e-01
16 2.77163452e-01
17 2.50712650e-01
18 2.06974999e-01
