           0  0.480975002    
           1  0.131403849    
           2   5.29313311E-02
           3   3.75059173E-02
           4   3.08590177E-02
           5   2.42430046E-02
           6   2.13910043E-02
           7   1.81112662E-02
           8   1.68562829E-02
           9   1.57560185E-02
          10   1.47968559E-02
          11   1.41864605E-02
          12   1.32514909E-02
          13   1.28037706E-02
          14   1.26254950E-02
          15   1.21980654E-02
          16   1.13608874E-02
          17   1.07507845E-02
          18   1.05539644E-02
          19   1.03626214E-02
          20   9.80317779E-03
          21   8.80013872E-03
          22   7.85094500E-03
          23   7.13362312E-03
          24   6.66349242E-03
          25   6.26503071E-03
          26   5.83957834E-03
          27   5.59555367E-03
          28   5.74789522E-03
          29   5.83341205E-03
          30   5.71500184E-03
          31   5.51303709E-03
          32   5.32768760E-03
          33   5.15082944E-03
          34   5.05290926E-03
          35   4.94547468E-03
          36   4.78186971E-03
          37   4.51475522E-03
          38   4.33922978E-03
          39   4.13585501E-03
          40   3.92796518E-03
          41   3.76512553E-03
          42   3.70982522E-03
          43   3.59921250E-03
          44   3.57230497E-03
          45   3.64542147E-03
          46   3.61185800E-03
          47   3.59552214E-03
          48   3.70278792E-03
          49   3.90986633E-03
          50   4.14916547E-03
          51   4.39170655E-03
          52   4.65775048E-03
          53   4.96374397E-03
          54   5.28311683E-03
          55   5.42007433E-03
          56   5.31034404E-03
