#alpha tolerance
0 3.8273795e+00
1 3.8218202e+00
2 3.8082608e+00
3 3.7884526e+00
4 3.7376620e+00
5 3.5875925e+00
6 3.4163983e+00
7 3.1066842e+00
8 2.8031021e+00
9 2.3206200e+00
10 1.9369215e+00
11 1.6052932e+00
12 1.3573082e+00
13 1.1536754e+00
14 9.5942176e-01
15 8.3885048e-01
16 7.2488590e-01
17 6.2801218e-01
18 5.7312079e-01
19 5.4986123e-01
20 5.9974596e-01
