#alpha tolerance
0 1.3980213e+00
1 1.3975570e+00
2 1.3844630e+00
3 1.3708124e+00
4 1.3655486e+00
5 1.2918126e+00
6 1.2408672e+00
7 1.1054306e+00
8 9.8457258e-01
9 7.9088764e-01
10 6.4439379e-01
