#alpha tolerance
0 1.9571686e+00
1 1.9457247e+00
2 1.9490220e+00
3 1.9366183e+00
4 1.9092221e+00
5 1.8459034e+00
6 1.7611337e+00
7 1.6016475e+00
8 1.4693367e+00
9 1.2711996e+00
10 1.1105434e+00
11 9.5385875e-01
12 8.3757100e-01
13 7.1784630e-01
14 6.3708372e-01
15 5.6562677e-01
16 5.2065107e-01
17 4.7671598e-01
18 4.5933659e-01
19 4.7168731e-01
20 4.7720343e-01
