#alpha tolerance
0 6.0703137e-01
1 6.0584565e-01
2 6.0388895e-01
3 5.9469010e-01
4 5.8605017e-01
5 5.6738041e-01
6 5.5077791e-01
7 5.1622523e-01
8 4.8668672e-01
9 4.0599563e-01
10 3.5110529e-01
11 2.5357341e-01
12 1.9368959e-01
13 1.5017231e-01
14 1.1867231e-01
15 9.4187382e-02
16 7.5893996e-02
17 6.1128209e-02
18 5.0427278e-02
19 4.2044719e-02
20 3.9082298e-02
